name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Leno,ARS,GKP,5.0,Available,3131,131,11,3.7,2.3
Rúnarsson,ARS,GKP,4.0,Available,15,1,0,1.0,1.1
Willian,ARS,MID,6.5,Available,1398,78,9,3.1,0.3
Aubameyang,ARS,FWD,10.0,Available,2330,131,11,4.5,3.6
Cédric,ARS,DEF,4.5,Available,744,28,3,2.8,0.3
Lacazette,ARS,FWD,8.5,Available,1916,129,21,4.2,5.1
Xhaka,ARS,MID,5.0,Available,2519,70,1,2.3,0.5
Marí,ARS,DEF,4.5,Available,900,34,1,3.4,0.2
Bellerín,ARS,DEF,5.0,Available,2089,94,17,3.8,0.8
Chambers,ARS,DEF,4.5,Available,751,36,3,3.6,0.4
Kolasinac,ARS,DEF,4.5,Available,0,0,0,0.0,0.2
Elneny,ARS,MID,4.5,Available,1538,50,3,2.2,0.7
Maitland-Niles,ARS,MID,5.5,Available,1714,68,1,2.6,0.1
Holding,ARS,DEF,4.5,Available,2557,105,10,3.5,3.9
Partey,ARS,MID,5.0,Available,1529,47,0,2.0,0.4
Tierney,ARS,DEF,5.0,Available,2299,96,4,3.6,8.4
Pépé,ARS,MID,7.5,Available,1606,114,11,3.9,3.6
Torreira,ARS,MID,4.5,Available,0,0,0,0.0,0.4
Willock,ARS,MID,6.0,Available,1210,79,5,3.8,0.7
Nketiah,ARS,FWD,5.5,Available,411,36,5,2.1,0.5
Smith Rowe,ARS,MID,5.5,Available,1438,74,3,3.7,7.4
Saka,ARS,MID,6.5,Available,2554,114,8,3.6,15.1
Gabriel,ARS,DEF,5.0,Available,1996,78,7,3.4,0.6
Mavropanos,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Guendouzi,ARS,MID,4.5,NotAvail,0,0,0,0.0,0.0
Martinelli,ARS,MID,5.5,Available,582,36,0,2.6,0.3
Saliba,ARS,DEF,4.5,NotAvail,0,0,0,0.0,0.1
Tavares,ARS,DEF,4.5,Available,0,0,0,0.0,0.6
Sambi Lokonga,ARS,MID,5.0,Available,0,0,0,0.0,0.1
Steer,AVL,GKP,4.0,Available,0,0,0,0.0,1.0
Hourihane,AVL,MID,5.0,Available,0,0,0,0.0,0.1
Martínez,AVL,GKP,5.5,Available,3420,186,27,4.9,39.6
Engels,AVL,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Traoré,AVL,MID,6.0,Available,2315,135,7,3.8,2.0
Grealish,AVL,MID,8.0,Available,2183,135,13,5.2,34.9
Sanson,AVL,MID,5.0,Available,288,10,0,1.1,0.1
McGinn,AVL,MID,6.0,Available,3330,114,2,3.1,0.8
Hause,AVL,DEF,4.5,Available,630,32,3,4.6,0.2
Trézéguet,AVL,MID,5.5,Injured,1157,56,3,2.7,0.0
Mings,AVL,DEF,5.0,Available,3194,128,8,3.6,7.4
Targett,AVL,DEF,5.0,Available,3404,138,9,3.6,9.8
Watkins,AVL,FWD,7.5,Available,3328,168,18,4.5,35.1
Nakamba,AVL,MID,4.5,Available,747,27,1,2.1,0.1
El Ghazi,AVL,MID,6.0,Available,1604,111,13,4.0,0.8
Buendía,AVL,MID,6.5,Available,0,0,0,0.0,11.9
Cash,AVL,DEF,5.0,Available,2373,89,8,3.2,1.9
Konsa,AVL,DEF,5.0,Available,3195,119,8,3.3,1.3
Guilbert,AVL,DEF,4.5,Available,0,0,0,0.0,0.1
Wesley,AVL,FWD,5.5,Available,15,3,0,1.0,0.2
Samatta,AVL,FWD,5.5,NotAvail,0,0,0,0.0,0.0
Davis,AVL,FWD,4.5,Available,265,23,0,1.5,7.7
Douglas Luiz,AVL,MID,4.5,Available,2781,72,0,2.2,1.6
Ramsey,AVL,MID,4.5,Available,611,28,0,1.3,0.3
Young,AVL,DEF,5.0,Available,0,0,0,0.0,0.8
Jansson,BRE,DEF,4.5,Available,0,0,0,0.0,0.7
Nørgaard,BRE,MID,5.0,Available,0,0,0,0.0,0.3
Toney,BRE,FWD,6.5,Available,0,0,0,0.0,32.6
Fosu,BRE,MID,5.5,Available,0,0,0,0.0,0.2
Raya,BRE,GKP,4.5,Available,0,0,0,0.0,2.1
Canós,BRE,MID,5.5,Available,0,0,0,0.0,0.4
Dasilva,BRE,MID,5.5,Available,0,0,0,0.0,0.2
Henry,BRE,DEF,4.5,Available,0,0,0,0.0,0.9
Janelt,BRE,MID,5.0,Available,0,0,0,0.0,0.1
Ghoddos,BRE,MID,5.5,Available,0,0,0,0.0,0.1
Jensen,BRE,MID,5.0,Available,0,0,0,0.0,0.2
Goode,BRE,DEF,4.0,Available,0,0,0,0.0,2.0
Forss,BRE,FWD,5.5,Available,0,0,0,0.0,0.2
Roerslev,BRE,DEF,4.5,Available,0,0,0,0.0,0.2
Sørensen,BRE,DEF,4.5,Available,0,0,0,0.0,0.2
Pinnock,BRE,DEF,4.5,Available,0,0,0,0.0,0.4
Balcombe,BRE,GKP,4.0,NotAvail,0,0,0,0.0,0.3
Zamburek,BRE,MID,4.5,Available,0,0,0,0.0,1.1
Gunnarsson,BRE,GKP,4.0,Available,0,0,0,0.0,1.2
Dervişoğlu,BRE,FWD,5.5,Available,0,0,0,0.0,0.1
Mbeumo,BRE,MID,5.5,Available,0,0,0,0.0,1.3
Bidstrup,BRE,MID,4.5,Available,0,0,0,0.0,0.1
Onyeka,BRE,MID,5.0,Available,0,0,0,0.0,0.0
Ajer,BRE,DEF,4.5,Available,0,0,0,0.0,0.4
Lallana,BHA,MID,5.5,Available,1584,58,2,1.9,0.2
Steele,BHA,GKP,4.0,Available,0,0,0,0.0,2.4
Groß,BHA,MID,6.0,Available,2479,116,11,3.4,0.5
Duffy,BHA,DEF,4.0,Available,0,0,0,0.0,2.8
Pröpper,BHA,MID,4.5,NotAvail,209,9,0,1.3,0.0
Burn,BHA,DEF,4.5,Available,2057,64,1,2.4,0.4
Dunk,BHA,DEF,5.0,Available,2932,130,17,3.9,6.5
March,BHA,MID,5.5,Available,1670,69,6,3.3,0.2
Webster,BHA,DEF,4.5,Available,2594,85,0,2.9,0.4
Veltman,BHA,DEF,4.5,Available,2280,96,10,3.4,1.5
